update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,8.3,31573,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0041,0.004,1.0945,0.0204,-1.372,0.000296,0.0,0.1
2,524288,16.4,32332,0.07,2.0,3.07,99.2,0.8,0.0,0.0,-0.0101,0.001,1.0766,0.0955,-0.058,0.000292,0.0,0.0
3,786432,24.6,32050,0.06,1.0,3.06,99.2,0.8,0.0,0.0,-0.0098,0.001,1.053,0.0844,-0.239,0.000288,0.0,0.1
4,1048576,32.7,32146,0.26,3.0,3.26,99.1,0.9,0.0,0.0,-0.0112,0.0,1.0366,0.0799,-0.25,0.000284,0.0,0.0
5,1310720,40.9,32120,0.42,2.0,3.42,98.7,1.3,0.0,0.0,-0.007,0.0,1.0404,0.0486,-0.204,0.00028,0.0,0.0
6,1572864,48.8,33053,1.05,3.0,4.05,97.9,2.1,0.0,0.0,-0.0045,0.0,1.0463,0.0333,-0.238,0.000276,0.0,0.0
7,1835008,56.7,33186,1.27,3.0,4.27,96.6,3.4,0.0,0.0,-0.0036,0.0,1.0314,0.0267,-0.228,0.000272,0.0,0.0
8,2097152,64.6,33335,1.66,4.0,4.66,95.1,4.9,0.0,0.0,-0.0031,0.0,1.0146,0.0149,-0.175,0.000269,0.0,0.0
9,2359296,72.6,32779,1.9,4.0,4.9,93.4,6.6,0.0,0.0,-0.004,0.0,1.007,0.0291,-0.12,0.000265,0.0,0.0
10,2621440,80.6,32573,2.23,5.0,5.23,91.5,8.5,0.0,0.0,-0.0042,0.0,1.0009,0.03,-0.142,0.000261,0.0,0.0
11,2883584,111.3,33269,2.56,7.0,5.56,89.0,11.0,0.0,0.0,-0.0049,0.0,0.9782,0.0404,-0.117,0.000257,0.0,0.1
12,3145728,119.2,33376,2.76,6.0,5.76,85.9,14.1,0.0,0.0,-0.005,0.001,0.9337,0.0395,-0.09,0.000253,0.0,0.1
13,3407872,127.1,33058,3.38,8.0,6.38,83.4,16.6,0.0,0.0,-0.0053,0.001,0.8775,0.0447,-0.008,0.000249,0.0,0.1
14,3670016,135.1,33059,4.07,10.0,7.07,81.0,19.0,0.0,0.0,-0.0055,0.001,0.8208,0.0427,0.099,0.000245,0.0,0.1
15,3932160,143.1,32642,5.06,12.0,8.06,78.8,21.1,0.1,0.0,-0.0054,0.001,0.7552,0.0329,0.137,0.000241,0.0,0.1
16,4194304,151.2,32301,6.88,15.0,9.88,76.7,23.1,0.2,0.0,-0.0064,0.001,0.7047,0.0344,0.155,0.000237,0.0,0.2
17,4456448,159.3,32384,9.48,19.0,12.48,74.9,24.7,0.4,0.0,-0.0064,0.001,0.6618,0.0347,0.157,0.000233,0.0,0.3
18,4718592,167.6,31407,12.62,24.0,15.62,73.4,26.1,0.5,0.0,-0.0062,0.002,0.6155,0.0328,0.157,0.000229,0.0,0.6
