update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,8.2,32155,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0041,0.004,1.0945,0.0204,-1.372,0.000296,0.0,0.1
2,524288,20.0,22099,0.12,2.0,3.12,99.2,0.8,0.0,0.0,-0.0103,0.001,1.0763,0.0976,-0.037,0.000292,0.0,0.1
3,786432,31.9,22028,0.15,2.0,3.15,99.2,0.8,0.0,0.0,-0.01,0.001,1.0538,0.087,-0.256,0.000288,0.0,0.1
4,1048576,39.7,33758,0.13,2.0,3.13,99.1,0.9,0.0,0.0,-0.0113,0.0,1.0403,0.079,-0.21,0.000284,0.0,0.1
5,1310720,47.4,33843,0.4,2.0,3.4,98.7,1.3,0.0,0.0,-0.0069,0.0,1.0418,0.0453,-0.171,0.00028,0.0,0.1
6,1572864,55.0,34666,1.13,3.0,4.13,97.9,2.1,0.0,0.0,-0.0042,0.0,1.0455,0.0317,-0.232,0.000276,0.0,0.1
7,1835008,62.9,33219,1.42,3.0,4.42,96.4,3.6,0.0,0.0,-0.0035,0.0,1.0304,0.0232,-0.216,0.000272,0.0,0.1
8,2097152,70.7,33322,1.82,4.0,4.82,95.0,5.0,0.0,0.0,-0.0032,0.0,1.0149,0.0172,-0.104,0.000269,0.0,0.1
9,2359296,78.8,32750,2.09,5.0,5.09,93.0,7.0,0.0,0.0,-0.004,0.0,1.0037,0.026,-0.194,0.000265,0.0,0.1
10,2621440,86.4,34273,2.25,4.0,5.25,90.7,9.3,0.0,0.0,-0.0043,0.0,0.9867,0.0271,-0.176,0.000261,0.0,0.1
11,2883584,120.7,34169,2.46,7.0,5.46,87.6,12.4,0.0,0.0,-0.0053,0.0,0.9508,0.0415,-0.138,0.000257,0.0,0.1
12,3145728,128.4,34260,2.97,8.0,5.97,84.8,15.2,0.0,0.0,-0.0048,0.001,0.9054,0.0402,-0.094,0.000253,0.0,0.1
13,3407872,136.1,34018,3.77,10.0,6.77,81.6,18.4,0.0,0.0,-0.0054,0.001,0.849,0.0392,0.003,0.000249,0.0,0.1
14,3670016,143.8,33897,4.28,11.0,7.28,78.8,21.2,0.0,0.0,-0.0057,0.001,0.7928,0.0385,0.124,0.000245,0.0,0.1
15,3932160,151.6,33652,5.73,16.0,8.73,76.4,23.6,0.0,0.0,-0.006,0.001,0.7378,0.0327,0.152,0.000241,0.0,0.2
16,4194304,159.8,32085,7.05,20.0,10.05,74.1,25.7,0.2,0.0,-0.0063,0.001,0.6836,0.0339,0.171,0.000237,0.0,0.3
17,4456448,167.8,32778,8.75,20.0,11.75,72.3,27.4,0.3,0.0,-0.0064,0.001,0.6387,0.0301,0.147,0.000233,0.0,0.4
18,4718592,176.1,31436,12.45,21.0,15.45,70.7,29.0,0.3,0.0,-0.0057,0.002,0.5949,0.0292,0.144,0.000229,0.01,0.7
19,4980736,184.8,30173,15.04,25.0,18.04,69.2,30.4,0.4,0.0,-0.0048,0.002,0.5602,0.027,0.146,0.000225,0.01,1.2
20,5242880,193.9,28713,18.07,30.0,21.07,68.1,31.6,0.4,0.0,-0.0042,0.002,0.528,0.026,0.155,0.000221,0.02,1.8
21,5505024,216.4,26911,22.43,38.0,25.43,66.9,32.7,0.4,0.0,-0.0032,0.002,0.504,0.0247,0.196,0.000217,0.03,2.5
22,5767168,226.3,26455,24.37,44.0,27.37,65.8,33.9,0.3,0.0,-0.0025,0.002,0.4881,0.0234,0.255,0.000213,0.05,3.5
23,6029312,236.7,25187,28.33,45.0,31.33,64.8,34.9,0.3,0.0,-0.0018,0.002,0.4756,0.0189,0.301,0.00021,0.07,4.6
24,6291456,247.2,25024,30.94,52.0,33.94,63.8,35.8,0.3,0.0,-0.0016,0.002,0.46,0.0164,0.344,0.000206,0.09,5.6
