update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,8.0,32737,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0041,0.004,1.0945,0.0204,-1.372,0.000296,0.0,0.1
2,524288,16.0,32690,0.12,3.0,3.12,99.3,0.7,0.0,0.0,-0.0101,0.001,1.0765,0.0943,-0.055,0.000292,0.0,0.0
3,786432,24.0,33020,0.06,1.0,3.06,99.3,0.7,0.0,0.0,-0.0099,0.001,1.0535,0.0854,-0.259,0.000288,0.0,0.0
4,1048576,31.8,33376,0.16,2.0,3.16,99.1,0.9,0.0,0.0,-0.0109,0.0,1.038,0.0788,-0.24,0.000284,0.0,0.1
5,1310720,39.8,32829,0.4,2.0,3.4,98.7,1.3,0.0,0.0,-0.0069,0.0,1.0379,0.0486,-0.21,0.00028,0.0,0.1
6,1572864,47.5,33942,1.11,3.0,4.11,97.8,2.2,0.0,0.0,-0.0041,0.0,1.0385,0.0315,-0.234,0.000276,0.0,0.1
7,1835008,55.3,33602,1.62,4.0,4.62,96.6,3.4,0.0,0.0,-0.0033,0.0,1.0224,0.0208,-0.186,0.000272,0.0,0.1
8,2097152,63.2,33228,1.74,6.0,4.74,94.7,5.3,0.0,0.0,-0.0034,0.0,1.0101,0.018,-0.197,0.000269,0.0,0.1
9,2359296,71.1,33383,2.16,4.0,5.16,92.8,7.2,0.0,0.0,-0.0038,0.0,0.9943,0.023,-0.163,0.000265,0.0,0.1
10,2621440,78.9,33357,2.41,6.0,5.41,90.7,9.3,0.0,0.0,-0.0045,0.0,0.9755,0.0261,-0.222,0.000261,0.0,0.1
11,2883584,109.4,33373,2.66,6.0,5.66,88.2,11.8,0.0,0.0,-0.0052,0.0,0.95,0.034,-0.226,0.000257,0.0,0.1
12,3145728,117.3,33129,2.85,7.0,5.85,85.5,14.5,0.0,0.0,-0.005,0.001,0.9088,0.0353,-0.114,0.000253,0.0,0.1
13,3407872,125.2,33117,3.67,10.0,6.67,83.1,16.9,0.0,0.0,-0.0051,0.001,0.8565,0.0402,-0.022,0.000249,0.0,0.1
14,3670016,133.2,32850,4.42,10.0,7.42,80.6,19.4,0.0,0.0,-0.0058,0.001,0.7983,0.0401,0.101,0.000245,0.0,0.1
15,3932160,141.1,32981,6.43,16.0,9.43,78.6,21.3,0.0,0.0,-0.0058,0.001,0.7326,0.0321,0.155,0.000241,0.0,0.2
