update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,8.0,32789,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0041,0.004,1.0945,0.0204,-1.372,0.000296,0.0,0.1
2,524288,15.9,33357,0.11,3.0,3.11,99.3,0.7,0.0,0.0,-0.0097,0.001,1.0771,0.0928,-0.03,0.000292,0.0,0.0
3,786432,23.8,33118,0.16,2.0,3.16,99.2,0.8,0.0,0.0,-0.0099,0.001,1.0542,0.0902,-0.204,0.000288,0.0,0.0
4,1048576,31.7,33009,0.11,2.0,3.11,99.1,0.9,0.0,0.0,-0.0106,0.0,1.0381,0.0765,-0.193,0.000284,0.0,0.0
5,1310720,39.6,33284,0.41,3.0,3.41,98.7,1.3,0.0,0.0,-0.0069,0.0,1.0383,0.0424,-0.166,0.00028,0.0,0.1
6,1572864,47.4,33647,1.28,3.0,4.28,97.9,2.1,0.0,0.0,-0.004,0.0,1.0443,0.0272,-0.181,0.000276,0.0,0.1
7,1835008,55.2,33396,1.48,3.0,4.48,96.6,3.4,0.0,0.0,-0.0035,0.0,1.033,0.0204,-0.213,0.000272,0.0,0.1
8,2097152,63.1,33374,1.75,3.0,4.75,94.8,5.2,0.0,0.0,-0.0034,0.0,1.0134,0.0172,-0.135,0.000269,0.0,0.1
9,2359296,71.0,33228,2.23,5.0,5.23,92.9,7.1,0.0,0.0,-0.0036,0.0,0.9989,0.0232,-0.111,0.000265,0.0,0.1
10,2621440,78.8,33406,2.25,5.0,5.25,90.8,9.2,0.0,0.0,-0.0045,0.0,0.9805,0.0394,-0.118,0.000261,0.0,0.1
11,2883584,109.2,33002,2.56,6.0,5.56,88.0,12.0,0.0,0.0,-0.0047,0.0,0.9553,0.0388,-0.113,0.000257,0.0,0.1
12,3145728,117.2,33084,2.88,8.0,5.88,85.0,15.0,0.0,0.0,-0.0048,0.001,0.9136,0.0378,-0.09,0.000253,0.0,0.1
13,3407872,125.1,32835,3.31,7.0,6.31,82.1,17.9,0.0,0.0,-0.0054,0.001,0.8578,0.0414,-0.014,0.000249,0.0,0.1
14,3670016,133.1,32875,4.23,11.0,7.23,79.3,20.7,0.0,0.0,-0.0055,0.001,0.8016,0.0324,0.076,0.000245,0.0,0.1
15,3932160,141.2,32592,5.29,14.0,8.29,76.7,23.3,0.1,0.0,-0.0062,0.001,0.7449,0.0378,0.131,0.000241,0.0,0.2
16,4194304,149.3,32356,7.29,14.0,10.29,74.4,25.4,0.2,0.0,-0.0062,0.001,0.6952,0.0326,0.145,0.000237,0.0,0.3
17,4456448,157.7,31194,9.4,16.0,12.4,72.4,27.3,0.3,0.0,-0.0067,0.001,0.6475,0.0338,0.136,0.000233,0.0,0.5
18,4718592,166.2,30565,12.22,28.0,15.22,70.6,29.1,0.3,0.0,-0.0062,0.002,0.5978,0.0308,0.129,0.000229,0.01,0.7
19,4980736,175.1,29463,14.6,26.0,17.6,69.1,30.6,0.3,0.0,-0.0054,0.002,0.5534,0.0298,0.149,0.000225,0.01,1.1
20,5242880,184.5,28034,17.9,32.0,20.9,67.8,31.9,0.3,0.0,-0.0038,0.002,0.5211,0.031,0.16,0.000221,0.02,1.7
21,5505024,204.8,27000,21.9,36.0,24.9,66.4,33.3,0.3,0.0,-0.0033,0.002,0.4916,0.0253,0.199,0.000217,0.03,2.5
22,5767168,214.9,25808,24.04,39.0,27.04,65.3,34.4,0.3,0.0,-0.0025,0.002,0.4719,0.0215,0.255,0.000213,0.04,3.3
23,6029312,225.2,25570,26.79,44.0,29.79,64.1,35.5,0.3,0.0,-0.0021,0.002,0.4569,0.0199,0.301,0.00021,0.06,4.2
24,6291456,235.7,25007,29.51,48.0,32.51,63.1,36.6,0.3,0.0,-0.0016,0.002,0.4482,0.014,0.34,0.000206,0.07,5.2
25,6553600,246.3,24762,31.46,50.0,34.46,62.2,37.5,0.3,0.0,-0.0016,0.002,0.4391,0.0145,0.372,0.000202,0.09,6.2
26,6815744,256.9,24755,31.8,55.0,34.8,61.2,38.5,0.3,0.0,-0.0012,0.003,0.4292,0.0136,0.391,0.000198,0.11,7.2
27,7077888,267.6,24440,34.46,55.0,37.46,60.4,39.3,0.3,0.0,-0.0011,0.003,0.4222,0.0149,0.42,0.000194,0.13,8.3
28,7340032,278.4,24231,36.01,60.0,39.01,59.6,40.1,0.3,0.0,-0.0011,0.003,0.4152,0.0146,0.439,0.00019,0.14,9.2
29,7602176,289.4,23830,36.95,59.0,39.95,58.8,40.9,0.3,0.0,-0.0011,0.003,0.4103,0.0141,0.458,0.000186,0.16,10.2
30,7864320,300.3,24115,38.36,63.0,41.36,58.1,41.6,0.3,0.0,-0.001,0.003,0.403,0.0091,0.483,0.000182,0.18,11.1
31,8126464,326.6,23840,40.44,71.0,43.44,57.5,42.2,0.3,0.0,-0.0011,0.003,0.3957,0.0103,0.504,0.000178,0.19,11.9
32,8388608,337.6,23699,39.5,71.0,42.5,56.9,42.8,0.3,0.0,-0.0008,0.003,0.3896,0.0119,0.501,0.000174,0.21,12.7
33,8650752,348.6,23769,39.67,65.0,42.67,56.3,43.4,0.3,0.0,-0.0007,0.003,0.3833,0.0125,0.514,0.00017,0.22,13.5
34,8912896,359.8,23488,42.46,76.0,45.46,55.8,43.9,0.3,0.0,-0.0007,0.003,0.3801,0.0102,0.535,0.000166,0.23,14.3
35,9175040,370.9,23650,42.31,72.0,45.31,55.3,44.4,0.3,0.0,-0.0007,0.003,0.3753,0.0103,0.549,0.000162,0.24,15.0
36,9437184,382.0,23601,40.96,74.0,43.96,54.8,44.9,0.3,0.0,-0.0008,0.003,0.3707,0.0085,0.563,0.000158,0.26,15.9
37,9699328,393.3,23280,43.48,75.0,46.48,54.2,45.5,0.3,0.0,-0.0007,0.003,0.3674,0.0106,0.586,0.000155,0.27,16.7
38,9961472,404.5,23231,42.8,73.0,45.8,53.7,45.9,0.3,0.0,-0.0007,0.003,0.3643,0.009,0.59,0.000151,0.28,17.3
39,10223616,415.9,23162,44.5,75.0,47.5,53.3,46.4,0.4,0.0,-0.0005,0.003,0.3586,0.0089,0.599,0.000147,0.29,18.0
40,10485760,427.2,23171,46.49,78.0,49.49,52.9,46.7,0.4,0.0,-0.0005,0.003,0.359,0.0073,0.614,0.000143,0.3,18.6
41,10747904,456.5,23071,46.09,74.0,49.09,52.5,47.1,0.4,0.0,-0.0007,0.003,0.3571,0.0089,0.61,0.000139,0.31,19.3
42,11010048,467.8,23207,46.13,76.0,49.13,52.2,47.4,0.4,0.0,-0.0006,0.003,0.3544,0.0084,0.619,0.000135,0.32,19.9
43,11272192,479.2,22973,47.17,74.0,50.17,51.8,47.7,0.5,0.0,-0.0005,0.003,0.351,0.0069,0.631,0.000131,0.33,20.6
44,11534336,490.5,23256,46.17,75.0,49.17,51.5,48.0,0.5,0.0,-0.0006,0.003,0.3461,0.0088,0.624,0.000127,0.34,21.2
45,11796480,501.7,23259,44.48,74.0,47.48,51.2,48.3,0.5,0.0,-0.0006,0.003,0.3396,0.0082,0.638,0.000123,0.35,21.9
46,12058624,513.2,22869,46.47,77.0,49.47,50.8,48.6,0.6,0.0,-0.0005,0.003,0.3374,0.006,0.645,0.000119,0.36,22.4
47,12320768,524.7,22758,47.25,73.0,50.25,50.5,48.9,0.6,0.0,-0.0005,0.003,0.3333,0.0089,0.655,0.000115,0.36,23.0
48,12582912,536.2,22921,45.2,80.0,48.2,50.2,49.2,0.6,0.0,-0.0005,0.003,0.3301,0.0077,0.644,0.000111,0.37,23.5
49,12845056,547.5,23189,47.24,73.0,50.24,49.9,49.4,0.7,0.0,-0.0004,0.003,0.3299,0.0091,0.663,0.000107,0.38,24.1
50,13107200,559.0,22697,50.0,79.0,53.0,49.6,49.7,0.7,0.0,-0.0004,0.003,0.3249,0.0083,0.668,0.000103,0.39,24.6
51,13369344,589.2,22294,48.23,78.0,51.23,49.3,49.9,0.7,0.0,-0.0004,0.003,0.325,0.0069,0.667,9.9e-05,0.39,25.2
52,13631488,600.7,22663,45.82,76.0,48.82,49.0,50.2,0.8,0.0,-0.0005,0.003,0.3249,0.0048,0.671,9.6e-05,0.4,25.7
53,13893632,612.4,22439,49.17,75.0,52.17,48.8,50.4,0.8,0.0,-0.0005,0.003,0.3213,0.0063,0.68,9.2e-05,0.4,26.2
54,14155776,624.0,22527,46.4,73.0,49.4,48.5,50.7,0.8,0.0,-0.0005,0.003,0.3187,0.0056,0.682,8.8e-05,0.41,26.7
55,14417920,635.5,22945,47.71,75.0,50.71,48.2,50.9,0.9,0.0,-0.0005,0.003,0.3138,0.0053,0.683,8.4e-05,0.42,27.2
56,14680064,647.1,22553,51.25,75.0,54.25,48.0,51.1,0.9,0.0,-0.0005,0.003,0.3127,0.0061,0.691,8e-05,0.42,27.7
57,14942208,658.6,22715,50.73,83.0,53.73,47.8,51.3,0.9,0.0,-0.0003,0.003,0.3103,0.0049,0.695,7.6e-05,0.43,28.1
58,15204352,670.2,22592,51.64,79.0,54.64,47.6,51.4,1.0,0.0,-0.0004,0.003,0.3098,0.0033,0.697,7.2e-05,0.43,28.6
59,15466496,681.8,22734,52.06,75.0,55.06,47.4,51.6,1.0,0.0,-0.0004,0.003,0.3087,0.0039,0.699,6.8e-05,0.44,29.0
60,15728640,693.3,22707,47.67,77.0,50.67,47.1,51.8,1.0,0.0,-0.0004,0.003,0.307,0.0058,0.694,6.4e-05,0.44,29.4
61,15990784,723.0,22595,50.66,80.0,53.66,46.9,52.0,1.1,0.0,-0.0004,0.003,0.3043,0.006,0.705,6e-05,0.45,29.9
62,16252928,734.7,22406,53.04,84.0,56.04,46.7,52.2,1.1,0.0,-0.0004,0.003,0.3056,0.004,0.714,5.6e-05,0.45,30.3
63,16515072,746.3,22662,46.83,85.0,49.83,46.5,52.3,1.2,0.0,-0.0004,0.003,0.3041,0.0025,0.711,5.2e-05,0.45,30.7
64,16777216,758.0,22286,51.01,81.0,54.01,46.3,52.5,1.2,0.0,-0.0003,0.003,0.3018,0.0027,0.712,4.8e-05,0.46,31.0
65,17039360,769.8,22201,51.52,80.0,54.52,46.2,52.6,1.3,0.0,-0.0003,0.003,0.3001,0.0027,0.708,4.4e-05,0.46,31.5
66,17301504,781.6,22353,50.04,76.0,53.04,46.0,52.7,1.3,0.0,-0.0004,0.002,0.3031,0.0031,0.718,4e-05,0.46,31.8
67,17563648,793.3,22388,51.36,79.0,54.36,45.8,52.8,1.3,0.0,-0.0003,0.003,0.304,0.0018,0.721,3.7e-05,0.47,32.3
68,17825792,804.9,22488,50.84,84.0,53.84,45.6,53.0,1.4,0.0,-0.0004,0.003,0.301,0.0021,0.712,3.3e-05,0.47,32.7
69,18087936,816.4,22922,48.58,74.0,51.58,45.4,53.1,1.4,0.0,-0.0004,0.003,0.2999,0.0026,0.721,2.9e-05,0.48,33.0
70,18350080,828.1,22400,49.36,81.0,52.36,45.3,53.3,1.5,0.0,-0.0002,0.003,0.2965,0.0019,0.717,2.5e-05,0.48,33.4
71,18612224,859.9,22500,52.21,77.0,55.21,45.1,53.4,1.5,0.0,-0.0002,0.003,0.2955,0.0006,0.726,2.1e-05,0.48,33.8
72,18874368,871.6,22361,51.53,84.0,54.53,45.0,53.5,1.6,0.0,-0.0002,0.003,0.2935,0.0003,0.717,1.7e-05,0.49,34.1
73,19136512,883.2,22507,53.26,86.0,56.26,44.8,53.6,1.6,0.0,-0.0003,0.003,0.2936,0.0017,0.718,1.5e-05,0.49,34.5
74,19398656,895.0,22311,51.33,82.0,54.33,44.6,53.7,1.6,0.0,-0.0002,0.003,0.2918,0.0006,0.716,1.5e-05,0.49,34.8
75,19660800,906.7,22315,50.24,81.0,53.24,44.5,53.9,1.7,0.0,-0.0002,0.003,0.2949,0.0009,0.723,1.5e-05,0.5,35.2
76,19922944,918.4,22543,51.56,77.0,54.56,44.3,54.0,1.7,0.0,-0.0001,0.003,0.2995,0.0004,0.724,1.5e-05,0.5,35.6
77,20185088,930.1,22411,48.18,82.0,51.18,44.1,54.2,1.7,0.0,-0.0002,0.003,0.3,0.0012,0.708,1.5e-05,0.5,35.9
