update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,4.7,55451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.005,0.527,0.0124,-4.03,0.000297,0.0,0.0
2,524288,8.9,62374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.001,0.4727,0.0533,0.25,0.000295,0.0,0.0
3,786432,13.3,60165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0,0.4623,0.0335,0.398,0.000292,0.0,0.0
4,1048576,17.6,60467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0,0.4486,0.0275,0.444,0.00029,0.0,0.0
5,1310720,22.0,60078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,0.0,0.4216,0.007,0.45,0.000287,0.01,0.0
6,1572864,26.0,65035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.3941,0.005,0.456,0.000284,0.01,0.0
7,1835008,30.4,59315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.3703,0.0085,0.43,0.000282,0.01,0.0
8,2097152,34.9,58504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.3753,0.0078,0.314,0.000279,0.01,0.0
9,2359296,39.3,60337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.3743,0.0093,0.204,0.000276,0.02,0.0
10,2621440,43.5,61227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.3511,0.0102,0.148,0.000274,0.02,0.0
