update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,3.3,79331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.001,0.1087,0.0298,0.043,0.000297,0.0,0.0
2,524288,6.2,90700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.001,0.0862,0.0248,0.035,0.000294,0.03,0.0
3,786432,9.1,90479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.001,0.0819,0.0215,0.009,0.000291,0.07,0.0
4,1048576,12.0,90551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.001,0.0853,0.0227,0.041,0.000287,0.11,0.0
5,1310720,14.9,90094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.001,0.0866,0.0226,0.139,0.000284,0.17,0.0
6,1572864,17.8,89716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.001,0.0876,0.0257,0.227,0.000281,0.22,0.0
7,1835008,20.7,89824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.0,0.0858,0.0222,0.311,0.000278,0.27,0.0
8,2097152,23.7,89634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022,0.0,0.0836,0.0237,0.412,0.000275,0.32,0.0
9,2359296,26.6,89510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0,0.0794,0.0215,0.474,0.000272,0.36,0.0
10,2621440,29.5,89545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0762,0.0197,0.537,0.000269,0.4,0.0
11,2883584,349.8,88268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0,0.0741,0.0185,0.559,0.000265,0.42,0.0
12,3145728,352.8,87029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0738,0.0187,0.578,0.000262,0.44,0.0
13,3407872,355.8,88270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.0,0.0775,0.0186,0.577,0.000259,0.45,0.0
14,3670016,358.8,87834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.001,0.0724,0.0162,0.535,0.000256,0.44,0.0
15,3932160,361.8,87308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.001,0.0671,0.0125,0.516,0.000253,0.44,0.0
16,4194304,364.8,86002,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0007,0.001,0.0642,0.0103,0.519,0.00025,0.43,100.0
17,4456448,367.9,85445,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0007,0.001,0.0639,0.0099,0.536,0.000247,0.42,100.0
18,4718592,371.0,85470,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0008,0.001,0.0663,0.0098,0.525,0.000243,0.42,100.0
19,4980736,374.0,86595,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0008,0.001,0.0714,0.0108,0.526,0.00024,0.41,100.0
20,5242880,377.0,86811,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0009,0.0,0.0728,0.0135,0.491,0.000237,0.4,100.0
21,5505024,678.6,87079,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0007,0.0,0.0758,0.0127,0.454,0.000234,0.4,100.0
22,5767168,681.6,87239,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0007,0.0,0.081,0.0139,0.447,0.000231,0.39,100.0
23,6029312,684.6,86610,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0013,0.0,0.0826,0.0153,0.378,0.000228,0.39,100.0
24,6291456,687.7,85396,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0033,0.001,0.0799,0.0225,0.372,0.000225,0.39,100.0
25,6553600,690.7,86081,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0034,0.001,0.0727,0.0219,0.416,0.000221,0.39,100.0
26,6815744,693.8,85769,20.0,20.0,23.0,0.0,100.0,0.0,0.0,-0.0022,0.001,0.0728,0.0149,0.491,0.000218,0.41,100.0
27,7077888,696.9,84980,23.0,26.0,26.0,0.0,100.0,0.0,0.0,-0.0021,0.001,0.0713,0.0148,0.511,0.000215,0.44,100.0
28,7340032,699.9,84842,23.0,26.0,26.0,0.0,100.0,0.0,0.0,-0.0019,0.001,0.0677,0.0133,0.543,0.000212,0.48,100.0
29,7602176,702.9,88394,29.0,36.0,32.0,0.0,100.0,0.0,0.0,-0.0014,0.001,0.0654,0.0106,0.57,0.000209,0.52,100.0
30,7864320,705.9,87281,29.0,36.0,32.0,0.0,100.0,0.0,0.0,-0.0011,0.001,0.0607,0.0081,0.571,0.000206,0.58,100.0
31,8126464,957.0,78552,35.17,51.0,38.17,0.0,100.0,0.0,0.0,-0.0008,0.001,0.0594,0.0072,0.576,0.000202,0.64,100.0
32,8388608,960.5,75408,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0007,0.001,0.0817,0.0141,0.141,0.000199,0.65,86.8
33,8650752,964.1,72185,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.001,0.001,0.0617,0.0133,0.581,0.000196,0.63,86.8
34,8912896,967.9,70489,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0011,0.001,0.0489,0.0086,0.672,0.000193,0.61,86.8
35,9175040,971.6,70232,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0008,0.001,0.0443,0.0055,0.653,0.00019,0.6,86.8
36,9437184,975.8,61885,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0008,0.001,0.0442,0.0066,0.628,0.000187,0.6,86.8
37,9699328,979.5,70856,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0005,0.001,0.0433,0.0054,0.626,0.000184,0.61,86.8
38,9961472,982.6,86679,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0005,0.001,0.0438,0.0052,0.611,0.00018,0.62,86.8
39,10223616,985.7,84183,43.34,57.0,46.34,0.0,0.3,99.7,0.0,-0.0005,0.001,0.0448,0.0053,0.606,0.000177,0.66,86.8
40,10485760,989.4,69405,43.21,57.0,46.21,0.0,0.4,99.6,0.0,-0.0005,0.001,0.0463,0.0049,0.576,0.000174,0.71,86.8
41,10747904,1352.0,93201,43.21,57.0,46.21,0.0,0.4,99.6,0.0,-0.0006,0.001,0.0471,0.0052,0.57,0.000171,0.78,86.8
42,11010048,1354.6,100145,43.27,57.0,46.27,0.0,0.5,99.5,0.0,-0.0005,0.001,0.0486,0.005,0.566,0.000168,0.85,86.8
43,11272192,1357.2,101206,43.6,57.0,46.6,0.0,0.6,99.4,0.0,-0.0004,0.001,0.0498,0.0046,0.565,0.000165,0.94,86.8
44,11534336,1359.8,101042,44.42,60.0,47.42,0.0,0.8,99.2,0.0,-0.0003,0.001,0.0515,0.0044,0.575,0.000162,1.04,86.8
45,11796480,1362.3,103871,44.72,60.0,47.72,0.0,0.9,99.1,0.0,-0.0004,0.001,0.0511,0.0046,0.579,0.000158,1.16,86.8
46,12058624,1364.8,106406,45.31,66.0,48.31,0.0,1.0,98.9,0.0,-0.0003,0.001,0.0518,0.0048,0.581,0.000155,1.28,86.9
47,12320768,1367.4,100757,46.87,89.0,49.87,0.1,1.3,98.6,0.0,-0.0003,0.001,0.0515,0.0035,0.582,0.000152,1.41,86.9
48,12582912,1370.1,95214,47.43,89.0,50.43,0.1,1.4,98.6,0.0,-0.0004,0.001,0.0525,0.0042,0.593,0.000149,1.55,86.9
49,12845056,1372.7,102766,47.65,89.0,50.65,0.1,1.4,98.5,0.0,-0.0003,0.001,0.0513,0.0035,0.6,0.000146,1.7,86.9
50,13107200,1375.3,99987,49.45,89.0,52.45,0.1,1.6,98.3,0.0,-0.0002,0.001,0.0523,0.0034,0.609,0.000143,1.86,87.0
