update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,12.0,10952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,0.002,0.1695,0.0343,0.475,0.000297,0.0,0.0
2,262144,24.2,10712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.001,0.1474,0.0095,0.454,0.000293,0.0,0.0
3,393216,37.8,9656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.001,0.1366,0.007,0.471,0.00029,0.0,0.0
4,524288,53.0,8624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.001,0.1335,0.0093,0.461,0.000287,0.0,0.0
5,655360,68.4,8473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.125,0.0071,0.463,0.000284,0.01,0.0
6,786432,85.0,7929,30.0,30.0,33.0,0.0,100.0,0.0,0.0,-0.0003,0.001,0.1219,0.0075,0.443,0.00028,0.01,0.0
7,917504,101.5,7912,30.0,30.0,33.0,0.0,100.0,0.0,0.0,-0.0002,0.001,0.1198,0.0099,0.437,0.000277,0.01,0.0
8,1048576,119.8,7180,33.0,35.0,36.0,0.0,100.0,0.0,0.0,-0.0005,0.001,0.115,0.0075,0.442,0.000274,0.02,33.3
9,1179648,139.0,6826,37.29,43.0,40.29,0.0,100.0,0.0,0.0,-0.0002,0.001,0.1057,0.0092,0.428,0.000271,0.02,14.3
10,1310720,157.4,7112,39.27,45.0,42.27,0.0,100.0,0.0,0.0,-0.0003,0.001,0.1002,0.0095,0.434,0.000267,0.03,9.1
11,1441792,209.1,7616,43.05,54.0,46.05,0.0,100.0,0.0,0.0,-0.0001,0.001,0.0914,0.0075,0.441,0.000264,0.03,15.0
12,1572864,226.8,7419,45.84,56.0,48.84,0.0,100.0,0.0,0.0,-0.0002,0.001,0.0894,0.008,0.461,0.000261,0.03,28.1
13,1703936,241.0,9228,51.88,63.0,54.88,0.0,4.0,96.0,0.0,-0.0007,0.001,0.1197,0.0132,0.419,0.000257,0.03,22.5
14,1835008,252.9,11036,51.88,63.0,54.88,0.0,4.0,96.0,0.0,-0.0005,0.001,0.1258,0.0125,0.504,0.000254,0.03,22.5
15,1966080,265.4,10478,51.88,63.0,54.88,0.0,4.0,96.0,0.0,-0.0003,0.001,0.111,0.0075,0.472,0.000251,0.03,22.5
