update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,2.3,115353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044,0.005,1.0429,0.0226,-1.289,0.000298,0.0,0.0
2,524288,4.2,139151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0132,0.001,0.992,0.1486,0.5,0.000296,0.01,0.0
3,786432,6.1,134606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063,0.001,0.9108,0.0735,0.333,0.000294,0.04,0.0
4,1048576,8.0,138965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.857,0.0275,0.39,0.000292,0.09,0.0
5,1310720,9.9,137116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.8529,0.0356,0.432,0.00029,0.1,0.0
6,1572864,11.8,137937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,0.8688,0.0262,0.372,0.000288,0.1,0.0
7,1835008,13.7,138770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.8753,0.017,0.281,0.000286,0.09,0.0
8,2097152,15.6,135406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.8787,0.0109,0.124,0.000284,0.08,0.0
9,2359296,17.6,132303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.8674,0.0151,-0.082,0.000282,0.08,0.0
10,2621440,19.7,127664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,0.8522,0.0222,-0.38,0.00028,0.07,0.0
