update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,2.4,109786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.001,0.1317,0.0227,0.453,0.000297,0.0,0.0
2,524288,4.6,120541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.001,0.1145,0.0111,0.509,0.000295,0.01,0.0
3,786432,7.0,107265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.001,0.1105,0.0103,0.5,0.000292,0.01,0.0
4,1048576,9.6,100481,28.67,30.0,31.67,33.3,66.7,0.0,0.0,-0.0004,0.001,0.1107,0.0103,0.468,0.00029,0.02,66.7
5,1310720,12.3,97910,32.5,37.0,35.5,28.6,71.4,0.0,0.0,-0.0003,0.001,0.1094,0.0105,0.45,0.000287,0.02,21.4
6,1572864,15.1,93722,35.88,45.0,38.88,17.6,82.4,0.0,0.0,-0.0003,0.001,0.1078,0.0117,0.452,0.000284,0.03,41.2
7,1835008,18.0,90259,39.47,51.0,42.47,11.1,88.9,0.0,0.0,-0.0002,0.001,0.1079,0.0122,0.447,0.000282,0.05,40.7
8,2097152,21.0,87116,44.36,55.0,47.36,10.8,89.2,0.0,0.0,-0.0001,0.001,0.1062,0.0132,0.464,0.000279,0.07,39.2
9,2359296,24.0,86368,51.04,63.0,54.04,10.2,89.8,0.0,0.0,-0.0003,0.001,0.103,0.0108,0.49,0.000276,0.09,50.5
10,2621440,27.3,81495,55.05,68.0,58.05,10.1,89.9,0.0,0.0,-0.0002,0.001,0.1036,0.0128,0.531,0.000274,0.11,55.2
11,2883584,164.2,81224,61.41,71.0,64.41,10.6,89.4,0.0,0.0,-0.0002,0.002,0.102,0.0112,0.567,0.000271,0.14,55.8
12,3145728,167.5,77697,64.44,80.0,67.44,11.4,88.6,0.0,0.0,-0.0,0.002,0.0993,0.0124,0.608,0.000269,0.17,59.0
13,3407872,171.1,74605,68.71,81.0,71.71,11.4,88.6,0.0,0.0,-0.0001,0.002,0.0964,0.0101,0.641,0.000266,0.2,61.8
14,3670016,174.5,75321,72.62,85.0,75.62,12.0,88.0,0.0,0.0,-0.0003,0.002,0.0968,0.0098,0.676,0.000263,0.23,63.4
15,3932160,178.1,73947,76.51,93.0,79.51,12.2,87.8,0.0,0.0,-0.0002,0.002,0.0958,0.0096,0.708,0.000261,0.26,64.5
16,4194304,181.6,74593,78.98,91.0,81.98,13.1,86.9,0.0,0.0,-0.0002,0.002,0.0975,0.0098,0.725,0.000258,0.3,67.2
17,4456448,185.1,74666,79.66,98.0,82.66,13.6,86.4,0.0,0.0,-0.0001,0.002,0.096,0.0097,0.757,0.000255,0.32,68.3
18,4718592,188.6,74800,85.62,103.0,88.62,13.7,86.3,0.0,0.0,-0.0001,0.002,0.096,0.0114,0.766,0.000253,0.35,69.6
19,4980736,192.0,76860,85.77,110.0,88.77,13.9,86.1,0.0,0.0,-0.0003,0.002,0.0965,0.0092,0.78,0.00025,0.37,70.9
20,5242880,195.3,78944,87.42,111.0,90.42,13.9,86.1,0.0,0.0,-0.0003,0.002,0.098,0.0098,0.782,0.000248,0.4,71.7
21,5505024,329.9,79342,87.26,111.0,90.26,14.4,85.6,0.0,0.0,-0.0003,0.002,0.0972,0.0079,0.787,0.000245,0.43,72.4
22,5767168,333.2,78706,90.01,117.0,93.01,14.6,85.4,0.0,0.0,0.0,0.002,0.098,0.0129,0.794,0.000242,0.45,72.7
23,6029312,336.6,78876,88.45,125.0,91.45,14.7,85.3,0.0,0.0,-0.0,0.002,0.097,0.0107,0.792,0.00024,0.48,73.0
24,6291456,339.8,80562,88.51,125.0,91.51,15.0,85.0,0.0,0.0,-0.0002,0.002,0.0986,0.0106,0.793,0.000237,0.51,73.5
25,6553600,343.2,76772,90.35,130.0,93.35,14.7,85.3,0.0,0.0,0.0,0.002,0.0998,0.013,0.798,0.000234,0.55,73.7
26,6815744,346.7,76301,90.24,130.0,93.24,14.6,85.4,0.0,0.0,-0.0002,0.002,0.0952,0.0088,0.81,0.000232,0.58,73.9
27,7077888,350.1,76288,94.6,137.0,97.6,14.6,85.4,0.0,0.0,-0.0002,0.002,0.0959,0.0094,0.811,0.000229,0.62,74.3
28,7340032,353.5,77243,91.63,144.0,94.63,14.8,85.2,0.0,0.0,-0.0001,0.002,0.0969,0.0114,0.815,0.000227,0.65,74.2
29,7602176,356.8,79380,90.36,141.0,93.36,14.9,85.1,0.0,0.0,-0.0002,0.002,0.0959,0.0094,0.823,0.000224,0.69,74.4
30,7864320,360.3,75544,92.63,148.0,95.63,15.1,84.9,0.0,0.0,-0.0003,0.002,0.1007,0.008,0.827,0.000221,0.73,74.6
31,8126464,507.9,78732,92.2,146.0,95.2,14.9,85.1,0.0,0.0,-0.0001,0.002,0.1021,0.0087,0.84,0.000219,0.76,74.7
32,8388608,511.2,80602,103.17,152.0,106.17,13.9,78.9,7.2,0.0,-0.0002,0.002,0.1037,0.0094,0.779,0.000216,0.76,76.5
