update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
1,262144,8.5,30776,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0042,0.004,1.0945,0.0207,-1.372,0.000299
2,524288,17.1,30602,0.14,3.0,3.14,99.2,0.8,0.0,0.0,-0.0099,0.001,1.0767,0.0933,-0.038,0.000298
3,786432,25.6,30927,0.12,1.0,3.12,99.2,0.8,0.0,0.0,-0.0099,0.001,1.0549,0.0862,-0.229,0.000297
4,1048576,34.0,30965,0.16,1.0,3.16,99.0,1.0,0.0,0.0,-0.0108,0.0,1.0411,0.0779,-0.252,0.000297
5,1310720,42.4,31378,0.47,2.0,3.47,98.6,1.4,0.0,0.0,-0.0066,0.0,1.0444,0.0434,-0.194,0.000296
6,1572864,50.7,31697,1.01,3.0,4.01,97.8,2.2,0.0,0.0,-0.0041,0.0,1.0451,0.0309,-0.185,0.000295
7,1835008,59.0,31297,1.67,3.0,4.67,96.2,3.8,0.0,0.0,-0.0035,0.0,1.0335,0.0197,-0.165,0.000294
8,2097152,67.4,31431,1.86,5.0,4.86,94.3,5.7,0.0,0.0,-0.0038,0.0,1.0144,0.0208,-0.076,0.000293
9,2359296,75.7,31508,2.22,4.0,5.22,92.1,7.9,0.0,0.0,-0.004,0.0,1.0035,0.0309,-0.073,0.000292
10,2621440,84.0,31435,2.37,7.0,5.37,89.3,10.7,0.0,0.0,-0.0045,0.0,0.989,0.0386,-0.101,0.000291
11,2883584,92.4,31505,2.5,6.0,5.5,86.4,13.6,0.0,0.0,-0.0055,0.0,0.9549,0.0415,-0.056,0.00029
12,3145728,100.7,31327,3.07,7.0,6.07,83.1,16.9,0.0,0.0,-0.0055,0.001,0.9004,0.0445,-0.023,0.000289
13,3407872,109.2,31023,3.98,11.0,6.98,80.0,20.0,0.0,0.0,-0.0065,0.001,0.8438,0.0453,0.059,0.000288
14,3670016,117.6,31048,5.01,14.0,8.01,77.2,22.8,0.0,0.0,-0.007,0.001,0.7781,0.0458,0.147,0.000287
15,3932160,126.2,30512,6.31,14.0,9.31,74.9,25.0,0.0,0.0,-0.0077,0.001,0.7202,0.0407,0.139,0.000286
16,4194304,134.9,30072,8.89,16.0,11.89,72.8,27.1,0.1,0.0,-0.0075,0.002,0.6645,0.041,0.129,0.000285
17,4456448,143.9,29257,12.44,24.0,15.44,71.1,28.7,0.2,0.0,-0.0066,0.002,0.6123,0.0412,0.111,0.000284
18,4718592,153.5,27260,16.18,29.0,19.18,69.6,30.2,0.2,0.0,-0.005,0.002,0.5696,0.0369,0.14,0.000283
19,4980736,163.5,26102,20.13,33.0,23.13,68.2,31.6,0.2,0.0,-0.004,0.002,0.5359,0.03,0.168,0.000282
20,5242880,174.1,24801,21.9,40.0,24.9,67.0,32.8,0.2,0.0,-0.0031,0.002,0.5079,0.0252,0.217,0.000281
21,5505024,185.1,23852,26.44,40.0,29.44,65.8,34.0,0.2,0.0,-0.0022,0.002,0.4921,0.0209,0.27,0.00028
22,5767168,196.3,23356,29.92,49.0,32.92,64.7,35.1,0.3,0.0,-0.0018,0.002,0.4762,0.0205,0.314,0.000279
23,6029312,207.5,23528,31.64,52.0,34.64,63.7,36.1,0.2,0.0,-0.0017,0.002,0.4635,0.0175,0.367,0.000277
24,6291456,219.0,22698,32.76,54.0,35.76,62.8,37.0,0.2,0.0,-0.0014,0.002,0.451,0.015,0.403,0.000276
25,6553600,230.6,22626,35.21,57.0,38.21,61.8,38.0,0.2,0.0,-0.0011,0.002,0.4381,0.0185,0.433,0.000275
26,6815744,262.3,22532,35.11,58.0,38.11,60.9,38.9,0.2,0.0,-0.0014,0.002,0.4268,0.0185,0.465,0.000271
27,7077888,273.9,22582,35.09,60.0,38.09,60.1,39.7,0.2,0.0,-0.001,0.002,0.4183,0.0172,0.484,0.00027
28,7340032,285.5,22498,37.29,58.0,40.29,59.3,40.5,0.2,0.0,-0.0007,0.002,0.4077,0.0139,0.506,0.000269
29,7602176,297.3,22223,39.95,62.0,42.95,58.6,41.2,0.2,0.0,-0.0008,0.002,0.4008,0.0157,0.53,0.000267
30,7864320,309.1,22218,40.4,69.0,43.4,57.9,41.8,0.2,0.0,-0.0007,0.002,0.395,0.0175,0.535,0.000266
31,8126464,320.8,22459,40.05,70.0,43.05,57.2,42.5,0.2,0.0,-0.0008,0.002,0.3865,0.0162,0.56,0.000265
32,8388608,332.8,21848,40.34,66.0,43.34,56.6,43.2,0.2,0.0,-0.0009,0.002,0.3841,0.0139,0.571,0.000263
33,8650752,344.4,22622,39.96,68.0,42.96,56.1,43.7,0.2,0.0,-0.0006,0.002,0.3774,0.016,0.592,0.000262
34,8912896,355.6,23493,42.49,78.0,45.49,55.5,44.3,0.2,0.0,-0.0008,0.002,0.3706,0.0122,0.603,0.000261
35,9175040,366.7,23461,42.61,71.0,45.61,55.0,44.8,0.2,0.0,-0.0008,0.002,0.3676,0.0119,0.621,0.00026
36,9437184,377.9,23396,43.97,81.0,46.97,54.4,45.4,0.2,0.0,-0.0007,0.002,0.3617,0.0153,0.63,0.000258
37,9699328,389.3,23110,43.88,76.0,46.88,53.9,45.9,0.2,0.0,-0.0007,0.002,0.3566,0.0154,0.637,0.000257
38,9961472,400.4,23540,42.2,69.0,45.2,53.4,46.3,0.3,0.0,-0.0006,0.002,0.3533,0.013,0.656,0.000256
39,10223616,411.8,23105,46.11,74.0,49.11,53.0,46.8,0.3,0.0,-0.0007,0.002,0.3503,0.0129,0.658,0.000255
40,10485760,424.4,20776,44.54,71.0,47.54,52.5,47.2,0.3,0.0,-0.0006,0.002,0.3468,0.0133,0.66,0.000253
41,10747904,437.3,20230,44.03,82.0,47.03,52.1,47.7,0.3,0.0,-0.0006,0.002,0.3402,0.012,0.669,0.000252
42,11010048,450.0,20668,44.6,73.0,47.6,51.6,48.1,0.3,0.0,-0.0006,0.002,0.3352,0.0125,0.681,0.00025
