update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,262144,9.5,27587,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0042,0.004,1.0945,0.0206,-1.372,0.000299,0.0,0.1
2,524288,18.1,30491,0.09,1.0,3.09,99.2,0.8,0.0,0.0,-0.0099,0.001,1.0769,0.0935,-0.018,0.000297,0.0,0.1
3,786432,26.5,31290,0.11,1.0,3.11,99.2,0.8,0.0,0.0,-0.0098,0.001,1.0535,0.0848,-0.205,0.000296,0.0,0.1
4,1048576,35.0,30685,0.23,2.0,3.23,99.1,0.9,0.0,0.0,-0.0106,0.0,1.0371,0.0747,-0.182,0.000295,0.0,0.1
5,1310720,43.5,30968,0.39,2.0,3.39,98.8,1.2,0.0,0.0,-0.0077,0.0,1.037,0.0549,-0.154,0.000293,0.0,0.1
6,1572864,51.9,31231,0.97,4.0,3.97,98.0,2.0,0.0,0.0,-0.0047,0.0,1.0427,0.0405,-0.121,0.000292,0.0,0.1
7,1835008,60.4,30948,1.51,3.0,4.51,96.4,3.6,0.0,0.0,-0.0036,0.0,1.0304,0.0258,-0.134,0.000291,0.0,0.1
8,2097152,68.8,30964,1.66,3.0,4.66,94.7,5.3,0.0,0.0,-0.0037,0.0,1.0142,0.0241,-0.075,0.00029,0.0,0.1
9,2359296,77.3,30884,2.0,3.0,5.0,92.8,7.2,0.0,0.0,-0.0037,0.0,1.0045,0.0253,-0.038,0.000288,0.0,0.1
10,2621440,86.3,29149,2.23,5.0,5.23,90.7,9.3,0.0,0.0,-0.0044,0.0,0.9955,0.0378,-0.065,0.000287,0.0,0.1
11,2883584,95.4,28691,2.55,7.0,5.55,87.9,12.1,0.0,0.0,-0.0051,0.0,0.9661,0.0359,-0.103,0.000286,0.0,0.1
12,3145728,104.5,29028,2.85,7.0,5.85,84.9,15.1,0.0,0.0,-0.0056,0.001,0.93,0.0386,-0.018,0.000284,0.0,0.1
13,3407872,113.1,30402,3.56,8.0,6.56,81.7,18.3,0.0,0.0,-0.006,0.001,0.8825,0.0454,0.056,0.000283,0.0,0.1
14,3670016,121.7,30513,4.32,10.0,7.32,78.9,21.1,0.0,0.0,-0.0066,0.001,0.83,0.0435,0.146,0.000282,0.0,0.1
15,3932160,130.2,30850,5.92,15.0,8.92,76.0,23.9,0.0,0.0,-0.0073,0.001,0.77,0.0394,0.171,0.00028,0.0,0.2
16,4194304,139.6,27756,7.51,15.0,10.51,73.4,26.5,0.1,0.0,-0.0082,0.001,0.7194,0.0459,0.16,0.000279,0.0,0.3
17,4456448,148.3,30275,10.25,22.0,13.25,71.2,28.6,0.2,0.0,-0.0074,0.002,0.6649,0.0426,0.149,0.000278,0.0,0.5
18,4718592,157.2,29463,12.46,23.0,15.46,69.0,30.8,0.2,0.0,-0.0063,0.002,0.6123,0.0412,0.13,0.000276,0.01,0.8
19,4980736,166.6,27869,16.05,30.0,19.05,67.3,32.4,0.2,0.0,-0.0051,0.002,0.5678,0.034,0.152,0.000275,0.01,1.2
20,5242880,176.5,26380,19.33,32.0,22.33,65.8,33.9,0.2,0.0,-0.0039,0.002,0.5351,0.0284,0.174,0.000274,0.02,1.7
21,5505024,199.1,25124,23.5,36.0,26.5,64.6,35.2,0.2,0.0,-0.003,0.002,0.5127,0.0255,0.219,0.000272,0.03,2.5
22,5767168,221.3,11836,25.83,42.0,28.83,63.3,36.5,0.2,0.0,-0.0023,0.002,0.4984,0.0239,0.268,0.000271,0.05,3.4
23,6029312,234.7,19553,28.96,48.0,31.96,62.2,37.6,0.2,0.0,-0.0015,0.003,0.4831,0.0204,0.312,0.00027,0.07,4.4
24,6291456,245.7,23730,29.18,51.0,32.18,61.1,38.7,0.2,0.0,-0.0018,0.003,0.4726,0.0194,0.358,0.000269,0.09,5.4
25,6553600,257.1,23070,31.03,51.0,34.03,60.2,39.6,0.2,0.0,-0.0015,0.003,0.4613,0.017,0.386,0.000267,0.11,6.4
26,6815744,267.6,24924,33.33,58.0,36.33,59.3,40.5,0.2,0.0,-0.0013,0.003,0.4495,0.0196,0.405,0.000266,0.13,7.4
27,7077888,278.2,24828,34.78,60.0,37.78,58.4,41.4,0.2,0.0,-0.0011,0.003,0.4412,0.0186,0.445,0.000265,0.15,8.4
28,7340032,288.9,24323,36.33,61.0,39.33,57.6,42.2,0.2,0.0,-0.0009,0.003,0.4335,0.0127,0.48,0.000263,0.18,9.5
29,7602176,299.9,23983,32.73,56.0,35.73,56.9,42.9,0.2,0.0,-0.0011,0.003,0.4266,0.0125,0.498,0.000262,0.2,10.5
30,7864320,310.8,23931,36.59,64.0,39.59,56.1,43.7,0.2,0.0,-0.0009,0.003,0.4179,0.0154,0.518,0.000261,0.22,11.5
31,8126464,323.2,21155,35.38,70.0,38.38,55.4,44.4,0.2,0.0,-0.0009,0.003,0.4122,0.0172,0.525,0.000259,0.24,12.5
32,8388608,335.2,21872,38.39,66.0,41.39,54.8,45.0,0.2,0.0,-0.0007,0.003,0.4009,0.0163,0.551,0.000258,0.26,13.3
33,8650752,346.2,23769,38.6,66.0,41.6,54.2,45.6,0.2,0.0,-0.0008,0.003,0.3949,0.0187,0.559,0.000257,0.28,14.2
34,8912896,357.1,24158,38.54,73.0,41.54,53.6,46.2,0.2,0.0,-0.0006,0.003,0.3839,0.0173,0.573,0.000255,0.29,15.1
35,9175040,368.2,23503,40.33,67.0,43.33,53.1,46.7,0.2,0.0,-0.0007,0.003,0.3844,0.0134,0.593,0.000254,0.31,15.8
36,9437184,379.5,23190,41.21,70.0,44.21,52.5,47.3,0.2,0.0,-0.0008,0.003,0.3781,0.0131,0.599,0.000253,0.32,16.6
37,9699328,390.7,23489,41.16,67.0,44.16,51.9,47.9,0.2,0.0,-0.0007,0.003,0.3746,0.012,0.612,0.000252,0.34,17.4
38,9961472,402.3,22684,43.09,68.0,46.09,51.4,48.4,0.2,0.0,-0.001,0.003,0.3685,0.0135,0.633,0.00025,0.35,18.1
