update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
1,262144,8.5,30732,0.06,2.0,3.06,99.3,0.7,0.0,0.0,-0.0041,0.004,1.0946,0.0201,-1.392,0.000291
2,524288,16.9,31436,0.1,2.0,3.1,99.2,0.8,0.0,0.0,-0.0097,0.001,1.078,0.0862,-0.053,0.000277
3,786432,25.3,31113,0.08,1.0,3.08,99.1,0.9,0.0,0.0,-0.0099,0.001,1.0539,0.0859,-0.29,0.000263
4,1048576,33.8,30700,0.23,2.0,3.23,99.0,1.0,0.0,0.0,-0.01,0.0,1.0384,0.0708,-0.342,0.000249
5,1310720,42.2,31406,0.42,2.0,3.42,98.6,1.4,0.0,0.0,-0.0067,0.0,1.0364,0.0445,-0.293,0.000235
6,1572864,66.6,33882,0.97,4.0,3.97,97.8,2.2,0.0,0.0,-0.0037,0.0,1.0448,0.0261,-0.263,0.000193
7,1835008,74.4,33850,1.3,4.0,4.3,96.5,3.5,0.0,0.0,-0.0028,0.0,1.036,0.016,-0.268,0.00018
8,2097152,83.1,30040,1.65,3.0,4.65,95.1,4.9,0.0,0.0,-0.0029,0.0,1.0082,0.02,-0.24,0.000167
9,2359296,91.2,32139,1.95,4.0,4.95,93.5,6.5,0.0,0.0,-0.0023,0.0,0.9844,0.0123,-0.22,0.000153
10,2621440,99.4,32262,2.12,6.0,5.12,92.2,7.8,0.0,0.0,-0.0025,0.0,0.9654,0.0115,-0.283,0.000139
11,2883584,123.2,30934,2.27,4.0,5.27,90.5,9.5,0.0,0.0,-0.0023,0.0,0.9477,0.0102,-0.266,0.0001
12,3145728,131.5,31561,2.33,6.0,5.33,88.8,11.2,0.0,0.0,-0.0026,0.0,0.9133,0.015,-0.362,8.6e-05
13,3407872,139.9,31040,2.73,7.0,5.73,86.9,13.1,0.0,0.0,-0.0024,0.001,0.8765,0.0127,-0.513,7.2e-05
14,3670016,148.5,30593,3.0,9.0,6.0,85.2,14.7,0.0,0.0,-0.0024,0.001,0.8425,0.0082,-0.466,5.8e-05
15,3932160,157.0,30674,3.16,7.0,6.16,83.5,16.3,0.1,0.0,-0.0022,0.001,0.7988,0.0067,-0.457,4.3e-05
16,4194304,181.2,30340,3.3,9.0,6.3,81.6,17.6,0.8,0.0,-0.001,0.001,0.7727,0.0007,-0.384,1.5e-05
