update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,9.2,14249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.006,1.044,0.0041,-1.271,0.00027,0.0,0.0
2,262144,18.0,14913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.002,1.0203,0.0004,0.25,0.00024,0.0,0.0
3,393216,26.9,14728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047,0.001,0.9986,0.0101,0.154,0.000211,0.01,0.0
4,524288,35.8,14722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024,0.001,0.9394,0.0074,-0.4,0.000181,0.03,0.0
5,655360,44.6,14944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.001,0.8928,0.0035,-0.696,0.000152,0.06,0.0
6,786432,53.3,14982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.8885,0.011,-0.795,0.000123,0.08,0.0
7,917504,62.1,14943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.8972,0.0044,-1.098,9.3e-05,0.08,0.0
8,1048576,70.9,14818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0,0.896,0.0008,-1.391,6.4e-05,0.08,0.0
9,1179648,79.6,15043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.898,0.0,-1.943,3.5e-05,0.08,0.0
10,1310720,88.5,14800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.9001,0.0,-2.236,1.5e-05,0.07,0.0
11,1441792,97.4,14747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.8999,0.0,-2.506,1.5e-05,0.07,0.0
