update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,2.0,64311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.006,1.0433,0.0059,-1.337,0.000294,0.0,0.0
2,262144,3.7,78770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.002,1.0229,0.0041,0.245,0.000288,0.0,0.0
3,393216,5.3,79783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0065,0.001,0.9885,0.0435,0.113,0.000282,0.01,0.0
4,524288,7.0,77254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.001,0.9089,0.0148,-0.49,0.000277,0.04,0.0
5,655360,8.8,76639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.869,0.009,-0.502,0.000271,0.07,0.0
6,786432,10.4,77428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.8679,0.0157,-0.518,0.000265,0.09,0.0
7,917504,12.1,77616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0,0.8759,0.005,-0.646,0.00026,0.09,0.0
8,1048576,13.8,77159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.8787,0.0172,-0.832,0.000254,0.09,0.0
9,1179648,15.5,76437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.8833,0.0216,-1.091,0.000248,0.09,0.0
10,1310720,17.3,76021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,0.0,0.8941,0.0066,-1.403,0.000243,0.08,0.0
11,1441792,19.0,74969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.8888,0.0215,-1.776,0.000237,0.07,0.0
12,1572864,20.8,75737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.8906,0.0142,-1.95,0.000231,0.07,0.0
13,1703936,22.5,77146,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0016,0.0,0.9031,0.0123,-1.119,0.000225,0.06,42.5
14,1835008,24.1,77262,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0019,0.0,0.9052,0.0102,-0.76,0.00022,0.06,42.5
15,1966080,25.8,77510,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0023,0.0,0.8941,0.0123,-0.699,0.000214,0.05,42.5
16,2097152,27.5,76919,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0022,0.0,0.8882,0.015,-0.686,0.000209,0.05,42.5
17,2228224,29.3,74534,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0021,0.0,0.8879,0.0194,-0.661,0.000203,0.05,42.5
18,2359296,31.1,74645,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0021,0.0,0.8715,0.0245,-0.737,0.000197,0.05,42.5
19,2490368,32.8,74912,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0023,0.0,0.8437,0.025,-0.831,0.000191,0.04,42.5
20,2621440,34.6,73602,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0023,0.001,0.8224,0.0197,-0.819,0.000185,0.04,42.5
21,2752512,36.4,71455,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0018,0.001,0.7722,0.0105,-0.79,0.000179,0.04,42.5
22,2883584,38.3,70095,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0024,0.001,0.724,0.0157,-0.604,0.000173,0.04,42.5
23,3014656,40.2,68761,1.15,6.0,4.15,0.0,0.0,100.0,0.0,-0.0026,0.001,0.6873,0.0154,-0.349,0.000166,0.04,42.5
24,3145728,42.1,69054,1.31,12.0,4.31,0.1,0.1,99.8,0.0,-0.0022,0.001,0.6565,0.0113,-0.175,0.00016,0.04,42.4
25,3276800,44.0,68329,8.21,17.0,11.21,0.0,0.0,99.9,0.0,-0.0021,0.001,0.6256,0.0096,-0.147,0.000154,0.04,24.0
26,3407872,45.7,77874,8.21,17.0,11.21,0.0,0.0,99.9,0.0,-0.005,0.001,0.6715,0.0474,0.185,0.000148,0.03,24.0
27,3538944,47.5,74515,8.21,17.0,11.21,0.0,0.0,99.9,0.0,-0.0031,0.001,0.5734,0.0177,0.224,0.000142,0.03,24.0
28,3670016,49.4,69360,8.21,17.0,11.21,0.0,0.0,99.9,0.0,-0.0028,0.001,0.51,0.0181,0.233,0.000136,0.03,24.0
29,3801088,51.3,67330,8.26,17.0,11.26,0.1,0.0,99.9,0.0,-0.0025,0.001,0.4654,0.0193,0.248,0.000129,0.03,24.0
30,3932160,53.3,66169,8.32,17.0,11.32,0.1,0.1,99.8,0.0,-0.0021,0.001,0.4457,0.0123,0.24,0.000123,0.03,24.0
31,4063232,55.3,63401,8.42,17.0,11.42,0.1,0.2,99.7,0.0,-0.0024,0.001,0.4093,0.0144,0.249,0.000116,0.03,24.1
32,4194304,57.6,59292,8.47,17.0,11.47,0.2,0.2,99.6,0.0,-0.0019,0.001,0.3833,0.0131,0.23,0.000108,0.03,24.0
33,4325376,59.8,57483,9.6,27.0,12.6,0.3,0.4,99.3,0.0,-0.0015,0.001,0.3632,0.0069,0.244,0.000101,0.03,24.1
34,4456448,62.3,53933,11.04,36.0,14.04,0.4,0.7,98.9,0.0,-0.0015,0.001,0.3445,0.0084,0.246,9.3e-05,0.04,24.2
35,4587520,64.8,52489,12.68,36.0,15.68,0.4,1.1,98.6,0.0,-0.0012,0.001,0.3283,0.0057,0.242,8.4e-05,0.04,24.4
36,4718592,67.3,51294,15.71,43.0,18.71,0.4,1.5,98.1,0.0,-0.001,0.001,0.3201,0.0043,0.232,7.6e-05,0.04,24.5
37,4849664,70.0,49023,18.9,44.0,21.9,0.5,1.9,97.6,0.0,-0.0008,0.001,0.3055,0.0032,0.218,6.7e-05,0.05,24.8
38,4980736,72.4,55276,39.53,53.0,42.53,0.3,1.5,98.2,0.0,-0.0008,0.001,0.3015,0.0044,0.217,5.9e-05,0.05,26.1
39,5111808,74.4,65352,39.53,53.0,42.53,0.3,1.5,98.2,0.0,-0.0012,0.001,0.2804,0.0078,0.35,5.2e-05,0.05,26.1
40,5242880,76.5,61625,39.45,53.0,42.45,0.3,1.5,98.2,0.0,-0.001,0.001,0.2646,0.006,0.359,4.5e-05,0.05,26.2
41,5373952,78.8,56276,39.45,53.0,42.45,0.3,1.5,98.2,0.0,-0.0007,0.001,0.2583,0.0032,0.324,3.8e-05,0.05,26.2
42,5505024,81.2,55087,39.37,57.0,42.37,0.3,1.6,98.1,0.0,-0.0005,0.001,0.2527,0.0003,0.287,3e-05,0.05,26.1
43,5636096,83.6,53921,39.41,57.0,42.41,0.3,1.6,98.1,0.0,-0.0004,0.001,0.2479,0.0007,0.274,2.2e-05,0.05,26.2
44,5767168,86.1,52586,39.44,57.0,42.44,0.3,1.7,98.0,0.0,-0.0003,0.001,0.2479,0.0001,0.245,1.5e-05,0.05,26.2
45,5898240,88.8,49746,39.49,57.0,42.49,0.4,1.9,97.7,0.0,-0.0002,0.001,0.246,0.0,0.232,1.5e-05,0.06,26.4
46,6029312,91.5,48293,40.49,57.0,43.49,0.4,2.2,97.4,0.0,-0.0002,0.001,0.2446,0.0,0.185,1.5e-05,0.06,26.6
