update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,65536,6.0,10991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.008,1.0447,0.0,-1.43,0.000288,0.0,0.0
2,131072,11.8,11296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.003,1.0217,0.0,-0.059,0.000273,0.0,0.0
3,196608,17.6,11319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.002,1.0003,0.0,-0.124,0.000258,0.0,0.0
4,262144,23.4,11275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.001,0.981,0.0,-0.936,0.000243,0.0,0.0
5,327680,29.2,11308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.001,0.9764,0.0,-1.636,0.000229,0.0,0.0
6,393216,69.1,11353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.001,0.9658,0.0,-2.31,0.000129,0.0,0.0
7,458752,74.9,11222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.9502,0.0,-2.578,0.000115,0.0,0.0
8,524288,80.7,11249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.9415,0.0,-3.013,0.0001,0.0,0.0
9,589824,86.6,11087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.001,0.9319,0.0,-3.141,8.5e-05,0.0,0.0
10,655360,92.5,11139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.001,0.9327,0.0,-3.369,7.1e-05,0.0,0.0
