update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,10.9,11979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.006,1.0442,0.0056,-1.366,0.000285,0.0,0.0
2,262144,21.9,11956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042,0.002,1.0159,0.0022,0.259,0.000266,0.01,0.0
3,393216,33.0,11833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054,0.001,0.9891,0.0204,0.149,0.000248,0.02,0.0
4,524288,44.2,11693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026,0.001,0.9294,0.0178,-0.435,0.000229,0.03,0.0
5,655360,55.2,11907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.001,0.8911,0.0146,-0.755,0.000211,0.04,0.0
6,786432,80.3,11852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.897,0.003,-0.86,0.000169,0.05,0.0
7,917504,91.5,11751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.8975,0.0078,-0.964,0.00015,0.06,0.0
8,1048576,102.5,11837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,0.0,0.8916,0.0032,-1.115,0.000132,0.06,0.0
9,1179648,113.7,11752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.8863,0.0006,-1.613,0.000113,0.06,0.0
10,1310720,124.7,11901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.883,0.0004,-1.944,9.5e-05,0.05,0.0
11,1441792,149.0,11623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.872,0.0,-2.267,5.5e-05,0.05,0.0
12,1572864,160.1,11737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.8651,0.0,-2.71,3.6e-05,0.05,0.0
13,1703936,171.0,12118,0.98,5.0,3.98,0.0,0.0,100.0,0.0,-0.0001,0.0,0.8826,0.0,-2.029,1.8e-05,0.05,37.0
14,1835008,181.9,12000,0.98,5.0,3.98,0.0,0.0,100.0,0.0,-0.0002,0.0,0.878,0.0,-1.485,1.5e-05,0.04,37.0
