update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,3.8,34926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.015,0.909,0.0157,-4.558,0.000296,0.16,0.0
2,262144,7.6,34388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.004,0.8496,0.0097,-1.87,0.00029,0.25,0.0
3,393216,11.6,32484,8.67,11.0,11.67,66.7,33.3,0.0,0.0,-0.0013,0.002,0.804,0.0071,-1.435,0.000283,0.34,66.7
4,524288,15.8,31404,11.35,16.0,14.35,76.5,23.5,0.0,0.0,-0.0014,0.002,0.7725,0.0091,-1.111,0.000276,0.44,70.6
5,655360,19.9,31519,13.02,20.0,16.02,62.0,38.0,0.0,0.0,-0.0021,0.002,0.7388,0.0092,-0.787,0.000269,0.56,86.0
6,786432,30.9,31202,15.15,24.0,18.15,59.5,40.5,0.0,0.0,-0.0025,0.002,0.7134,0.0125,-0.44,0.000251,0.76,90.9
7,917504,35.2,30652,17.42,25.0,20.42,60.4,39.6,0.0,0.0,-0.0024,0.004,0.6885,0.0077,-0.097,0.000244,1.23,92.8
8,1048576,39.4,31130,18.4,26.0,21.4,64.3,35.7,0.0,0.0,-0.0022,0.006,0.647,0.0148,0.197,0.000237,2.25,93.5
9,1179648,43.5,31972,20.33,27.0,23.33,67.3,32.7,0.0,0.0,-0.0023,0.01,0.5968,0.0182,0.46,0.00023,4.06,93.7
10,1310720,47.7,31470,20.48,27.0,23.48,68.5,31.5,0.0,0.0,-0.002,0.014,0.5212,0.0235,0.663,0.000223,6.63,93.5
11,1441792,58.4,32475,20.48,27.0,23.48,69.4,30.6,0.0,0.0,-0.0015,0.018,0.4619,0.018,0.785,0.000205,9.75,93.5
12,1572864,62.5,32265,20.95,28.0,23.95,68.4,31.6,0.0,0.0,-0.0013,0.019,0.4157,0.0139,0.854,0.000198,13.15,93.3
13,1703936,66.4,33872,37.8,54.0,40.8,30.3,14.0,55.7,0.0,-0.0007,0.042,0.4555,0.0074,0.72,0.000192,14.53,96.9
14,1835008,70.3,32956,36.09,54.0,39.09,30.5,14.3,55.3,0.0,-0.0014,0.007,0.4917,0.012,0.903,0.000185,14.22,96.6
15,1966080,74.4,31970,35.35,54.0,38.35,30.5,14.4,55.1,0.0,-0.0013,0.009,0.4217,0.0089,0.903,0.000179,14.3,96.6
16,2097152,85.1,33310,35.4,54.0,38.4,30.5,14.3,55.2,0.0,-0.0009,0.012,0.3904,0.0099,0.902,0.000161,14.7,96.4
17,2228224,89.0,33758,34.84,54.0,37.84,30.3,14.2,55.5,0.0,-0.0008,0.014,0.3578,0.0092,0.911,0.000154,15.35,96.0
18,2359296,92.7,35053,36.92,57.0,39.92,29.2,13.8,57.0,0.0,-0.0006,0.021,0.337,0.0081,0.897,0.000148,16.2,96.1
19,2490368,96.5,35137,41.63,59.0,44.63,27.3,12.9,59.8,0.0,-0.0006,0.029,0.3313,0.0073,0.888,0.000142,17.27,96.1
20,2621440,100.1,36171,43.32,59.0,46.32,25.5,12.1,62.4,0.0,-0.0005,0.031,0.3378,0.0063,0.894,0.000136,18.33,96.3
21,2752512,110.6,34450,41.08,59.0,44.08,24.1,11.3,64.6,0.0,-0.0007,0.028,0.3376,0.0082,0.914,0.000118,19.34,96.2
22,2883584,114.4,34139,41.97,59.0,44.97,23.3,11.0,65.7,0.0,-0.0007,0.021,0.3334,0.0064,0.942,0.000112,20.31,96.2
23,3014656,118.2,34510,41.46,61.0,44.46,22.8,10.7,66.4,0.1,-0.0006,0.017,0.3138,0.005,0.955,0.000105,21.34,96.1
24,3145728,122.1,33891,41.9,61.0,44.9,22.5,10.6,66.8,0.1,-0.0007,0.016,0.2923,0.0088,0.962,9.9e-05,22.49,96.1
25,3276800,125.8,35311,43.35,59.0,46.35,16.2,7.6,75.6,0.6,-0.0002,0.139,0.2642,0.004,0.675,9.3e-05,23.83,95.4
26,3407872,136.3,33525,43.61,61.0,46.61,16.1,7.6,75.6,0.7,-0.0014,0.01,0.4367,0.0255,0.963,7.5e-05,23.39,95.5
27,3538944,140.1,34013,43.88,61.0,46.88,16.1,7.6,75.6,0.7,-0.0006,0.008,0.3444,0.0005,0.972,6.9e-05,23.19,95.5
28,3670016,144.1,33030,44.99,61.0,47.99,16.0,7.5,75.6,0.9,-0.0003,0.01,0.2977,0.0,0.968,6.2e-05,23.2,95.5
29,3801088,148.0,33625,46.28,61.0,49.28,15.9,7.5,75.6,1.0,-0.0003,0.012,0.2813,0.0,0.966,5.6e-05,23.35,95.5
30,3932160,151.8,34015,49.04,61.0,52.04,15.7,7.4,75.7,1.3,-0.0002,0.016,0.268,0.0,0.958,4.9e-05,23.62,95.6
31,4063232,162.2,34035,51.74,61.0,54.74,15.2,7.1,76.1,1.6,-0.0002,0.028,0.2618,0.0,0.936,3.2e-05,24.11,95.6
32,4194304,165.9,34961,52.62,61.0,55.62,14.6,6.9,76.7,1.8,-0.0001,0.035,0.2626,0.0,0.926,2.6e-05,24.68,95.6
33,4325376,169.6,35125,55.05,61.0,58.05,14.1,6.6,77.0,2.3,-0.0001,0.033,0.2662,0.0,0.934,2e-05,25.27,95.7
34,4456448,173.4,35290,51.35,61.0,54.35,13.6,6.4,77.2,2.7,-0.0001,0.028,0.2636,0.0,0.947,1.5e-05,25.88,95.7
35,4587520,177.0,35764,51.94,61.0,54.94,13.5,6.3,77.4,2.8,-0.0001,0.017,0.2445,0.0,0.969,1.5e-05,26.51,95.7
